Occupation	Occupation1	Gender	nIndividuals	AvgTaxableIncome	MedianTaxableIncome
1322 Finance Managers	132211 Finance manager; Financial controller; Manager - finance; Manager - financial administration; Administrator - financial; Financial administrator	Male	21502	160943	119513
1322 Finance Managers	132211 Finance manager; Financial controller; Manager - finance; Manager - financial administration; Administrator - financial; Financial administrator	Total	44499	122708	89681
1323 Human Resource Managers	132311 Human resources manager; Manager - human resources; Industrial relations manager; Manager - personnel and industrial relations; Personnel and industrial relations manager	Female	17444	108948	89117
1323 Human Resource Managers	132311 Human resources manager; Manager - human resources; Industrial relations manager; Manager - personnel and industrial relations; Personnel and industrial relations manager	Male	6770	136152	108537
1323 Human Resource Managers	132311 Human resources manager; Manager - human resources; Industrial relations manager; Manager - personnel and industrial relations; Personnel and industrial relations manager	Total	24214	116554	94227
1324 Policy and Planning Managers	132411 Manager - policy and planning; Manager - public policy; Policy and planning manager; Public policy manager; Public servant - federal or state/territory - executive - lower (e.g. federal EL1-2); Public servant - federal or state/territory - executive - upper (e.g. federal Senior Executive Service)	Female	20670	102135	97320
1324 Policy and Planning Managers	132411 Manager - policy and planning; Manager - public policy; Policy and planning manager; Public policy manager; Public servant - federal or state/territory - executive - lower (e.g. federal EL1-2); Public servant - federal or state/territory - executive - upper (e.g. federal Senior Executive Service)	Male	18934	122670	111940
1324 Policy and Planning Managers	132411 Manager - policy and planning; Manager - public policy; Policy and planning manager; Public policy manager; Public servant - federal or state/territory - executive - lower (e.g. federal EL1-2); Public servant - federal or state/territory - executive - upper (e.g. federal Senior Executive Service)	Total	39604	111953	105243
1325 Research and Development Managers	132511 Manager - research and development; Research and development manager	Female	6049	79222	71632
1325 Research and Development Managers	132511 Manager - research and development; Research and development manager	Male	4848	112587	96066
1325 Research and Development Managers	132511 Manager - research and development; Research and development manager	Total	10897	94066	81813
1331 Construction Managers	133100 Builder - type not specified	Female	8	21345	15637
1331 Construction Managers	133100 Builder - type not specified	Male	166	36018	32137
1331 Construction Managers	133100 Builder - type not specified	Total	174	35344	30166
1331 Construction Managers	133111 Builder - construction project manager; Building and construction manager; Construction project manager; Manager - building and construction	Female	2953	84705	73971
1331 Construction Managers	133111 Builder - construction project manager; Building and construction manager; Construction project manager; Manager - building and construction	Male	43309	109277	92954
1331 Construction Managers	133111 Builder - construction project manager; Building and construction manager; Construction project manager; Manager - building and construction	Total	46262	107709	91650
1331 Construction Managers	133112 Builder - professional; Builder - project; Project builder	Female	733	77793	68703
1331 Construction Managers	133112 Builder - professional; Builder - project; Project builder	Male	11166	77611	65128
1331 Construction Managers	133112 Builder - professional; Builder - project; Project builder	Total	11899	77622	65382
1332 Engineering Managers	133211 Engineer - engineering manager; Engineering manager; Manager - engineering	Female	1279	124107	104592
1332 Engineering Managers	133211 Engineer - engineering manager; Engineering manager; Manager - engineering	Male	24178	150161	125593
1332 Engineering Managers	133211 Engineer - engineering manager; Engineering manager; Manager - engineering	Total	25457	148852	124399
1333 Importers, Exporters and Wholesalers	133311 Exporter; Importer	Female	360	56387	54193
1333 Importers, Exporters and Wholesalers	133311 Exporter; Importer	Male	446	74691	60113
1333 Importers, Exporters and Wholesalers	133311 Exporter; Importer	Total	806	66515	56486
1333 Importers, Exporters and Wholesalers	133312 Director - wholesaling company; Wholesaler; Wholesaling company director	Female	894	97018	53549
1333 Importers, Exporters and Wholesalers	133312 Director - wholesaling company; Wholesaler; Wholesaling company director	Male	2313	127641	65828
1333 Importers, Exporters and Wholesalers	133312 Director - wholesaling company; Wholesaler; Wholesaling company director	Total	3207	119104	62083
1334 Manufacturers	133411 Factory manager; Manager - factory; Manufacturer	Female	2597	55002	48270
1334 Manufacturers	133411 Factory manager; Manager - factory; Manufacturer	Male	17178	75815	67882
1334 Manufacturers	133411 Factory manager; Manager - factory; Manufacturer	Total	19775	73082	65065
1335 Production Managers	133511 Forestry production manager; Manager - forestry production	Female	61	70832	67725
1335 Production Managers	133511 Forestry production manager; Manager - forestry production	Male	751	95367	83514
1335 Production Managers	133511 Forestry production manager; Manager - forestry production	Total	812	93524	82095
1335 Production Managers	133512 Director - manufacturing company; Director - publishing; Manager - manufacturing company; Manufacturing company director; Publishing director; Manufacturing company manager	Female	1827	91762	72827
1335 Production Managers	133512 Director - manufacturing company; Director - publishing; Manager - manufacturing company; Manufacturing company director; Publishing director; Manufacturing company manager	Male	9500	113576	90838
1335 Production Managers	133512 Director - manufacturing company; Director - publishing; Manager - manufacturing company; Manufacturing company director; Publishing director; Manufacturing company manager	Total	11327	110058	87974
1335 Production Managers	133513 Manager - mining production; Mining production manager	Female	251	152170	127273
1335 Production Managers	133513 Manager - mining production; Mining production manager	Male	3869	176281	150156
1335 Production Managers	133513 Manager - mining production; Mining production manager	Total	4120	174812	149124
1336 Supply and Distribution Managers	133611 Manager - supply and distribution; Supply and distribution manager; Air force - logistics officer (air force); Army - ordnance corps officer (army); Army - transport corps officer (army); Logistics officer (air force); Navy - supply officer (navy); Ordnance corps officer (army); Supply officer (navy); Transport corps officer (army)	Female	2991	81082	70106
1336 Supply and Distribution Managers	133611 Manager - supply and distribution; Supply and distribution manager; Air force - logistics officer (air force); Army - ordnance corps officer (army); Army - transport corps officer (army); Logistics officer (air force); Navy - supply officer (navy); Ordnance corps officer (army); Supply officer (navy); Transport corps officer (army)	Male	10991	100012	84970
1336 Supply and Distribution Managers	133611 Manager - supply and distribution; Supply and distribution manager; Air force - logistics officer (air force); Army - ordnance corps officer (army); Army - transport corps officer (army); Logistics officer (air force); Navy - supply officer (navy); Ordnance corps officer (army); Supply officer (navy); Transport corps officer (army)	Total	13982	95963	81406
1336 Supply and Distribution Managers	133612 Manager - procurement; Procurement manager	Female	662	101146	90971
1336 Supply and Distribution Managers	133612 Manager - procurement; Procurement manager	Male	1367	112691	97897
1336 Supply and Distribution Managers	133612 Manager - procurement; Procurement manager	Total	2029	108924	95928
1341 Child Care Centre Managers	134111 Child care centre director; Director - child care centre	Female	7951	60415	56832
1341 Child Care Centre Managers	134111 Child care centre director; Director - child care centre	Male	403	83952	63453
1341 Child Care Centre Managers	134111 Child care centre director; Director - child care centre	Total	8354	61551	57057
1342 Health and Welfare Services Managers	134211 Administrator - medical; Medical administrator	Female	15938	49682	43949
1342 Health and Welfare Services Managers	134211 Administrator - medical; Medical administrator	Male	1610	78061	54462
1342 Health and Welfare Services Managers	134211 Administrator - medical; Medical administrator	Total	17548	52286	44595
1342 Health and Welfare Services Managers	134212 Director - of nursing (inc. assistant, deputy, executive and clinical); Manager - nurse - senior; Nurse - nurse manager - senior; Nurse - nursing director (inc. assistant, deputy, executive and clinical); Nursing director (inc. assistant, deputy, executive and clinical)	Female	3604	82939	80260
