"Date"	"SeriesID"	"value"	"Description"	"Adjustment"
1996-05-01	"A2413051X"	503208000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1996-06-01	"A2413051X"	455450000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1996-07-01	"A2413051X"	515528000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1996-08-01	"A2413051X"	485639000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1996-09-01	"A2413051X"	469528000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1996-10-01	"A2413051X"	532582000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1996-11-01	"A2413051X"	484726000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1996-12-01	"A2413051X"	452142000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1997-01-01	"A2413051X"	448104000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1997-02-01	"A2413051X"	539487000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1997-03-01	"A2413051X"	533933000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1997-04-01	"A2413051X"	621508000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1997-05-01	"A2413051X"	634748000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1997-06-01	"A2413051X"	571622000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
